"symbol","date","adjusted","sma_50","buy_or_sell","shares_owned","invested","savings_account_balance","profit"
"SPY",1995-10-31,37.349545,37.02229842,0,981.41345107584,30342.8674364596,0,0
"SPY",1995-11-30,39.010868,37.77768572,0,1007.04733340832,31342.8674364596,0,0
"SPY",1995-12-29,39.624615,38.67846136,0,1032.28417167161,32342.8674364596,0,0
"SPY",1996-01-31,41.034389,39.47631,0,1056.6539752527,33342.8674364596,0,0
"SPY",1996-02-29,41.165298,40.51781114,0,1080.94628087381,34342.8674364596,0,0
"SPY",1996-03-29,41.874096,41.5705431,0,1104.82739343562,35342.8674364596,0,0
"SPY",1996-04-30,42.329243,41.88558288,0,1128.45172331083,36342.8674364596,0,0
"SPY",1996-05-31,43.290112,42.37839482,0,1151.55168664657,37342.8674364596,0,0
"SPY",1996-06-28,43.672024,43.0404902,0,1174.44964072353,38342.8674364596,0,0
"SPY",1996-07-31,41.709591,42.85132788,1,0,0,49985.8141646753,10642.9467282157
"SPY",1996-08-30,42.512867,42.69832462,1,0,0,50985.8141646753,0
"SPY",1996-09-30,44.88818,43.27714604,0,1158.11810959311,51985.8141646753,0,0
"SPY",1996-10-31,46.339466,44.85630474,0,1179.69798709968,52985.8141646753,0,0
"SPY",1996-11-29,49.722435,46.75072928,0,1199.8096328789,53985.8141646753,0,0
"SPY",1996-12-31,48.539139,48.13646762,0,1220.41156403388,54985.8141646753,0,0
"SPY",1997-01-31,51.538181,49.59316576,0,1239.81465472503,55985.8141646753,0,0
"SPY",1997-02-28,52.03117,50.99722706,0,1259.03390349457,56985.8141646753,0,0
"SPY",1997-03-31,49.735428,52.09973388,1,0,0,63618.5900568129,5632.77589213762
"SPY",1997-04-30,52.849041,51.53957462,0,1222.70127960908,64618.5900568129,0,0
"SPY",1997-05-30,56.18948,52.5454831,0,1240.49820529695,65618.5900568129,0,0
"SPY",1997-06-30,58.498985,55.74858962,0,1257.59251898462,66618.5900568129,0,0
"SPY",1997-07-31,63.135853,59.2117156,0,1273.43137998805,67618.5900568129,0,0
"SPY",1997-08-29,59.865215,61.0761816,1,0,0,77234.2433507312,8615.65329391824
"SPY",1997-09-30,62.744156,61.97766522,0,1246.87697370144,78234.2433507312,0,0
"SPY",1997-10-31,61.206745,62.48951218,1,0,0,77317.2809757159,-1916.9623750153
"SPY",1997-11-28,63.57523,62.9359274,0,1231.88356496258,78317.2809757159,0,0
"SPY",1997-12-31,64.787743,63.15610764,0,1247.31858328078,79317.2809757159,0,0
"SPY",1998-01-30,65.622055,64.1268839,0,1262.55736237723,80317.2809757159,0,0
"SPY",1998-02-27,70.169319,65.7339564,0,1276.80860514617,81317.2809757159,0,0
