"symbol","date","adjusted","sma_50","invested","shares","total_shares_value","profit"
"SPY",1999-02-26,83.545898,83.7370343,71000,1762.10163256315,147216.363259755,76216.3632597547
"SPY",1999-03-31,87.010376,85.5344528600001,72000,1773.59451474539,154321.125599534,82321.1255995338
"SPY",1999-04-30,90.314575,88.2424504400001,73000,1784.66692470801,161181.434821561,88181.434821561
"SPY",1999-05-28,88.249458,90.03393594,74000,1795.99843906133,158495.888816009,84495.8888160088
"SPY",1999-06-30,93.136604,90.45960084,75000,1806.73535620296,168273.195403474,93273.1954034736
"SPY",1999-07-30,90.247345,91.43975068,76000,1817.81601458687,164053.069014946,88053.069014946
"SPY",1999-08-31,89.779907,91.9670640400001,77000,1828.95436428464,164203.35273272,87203.3527327195
"SPY",1999-09-30,87.774513,90.4129659800001,78000,1840.34719308906,161535.578624309,83535.5786243093
"SPY",1999-10-29,93.398903,89.7388232400001,79000,1851.05395695758,172886.408973648,93886.4089736475
"SPY",1999-11-30,94.95414,91.2085885800001,80000,1861.58535664168,176765.236576504,96765.2365765043
"SPY",1999-12-31,100.3769,95.4407342200001,81000,1871.5478081619,187860.167185087,106860.167185087
"SPY",2000-01-31,95.379395,97.4933186200001,82000,1882.03225294162,179507.097656058,97507.0976560584
"SPY",2000-02-29,93.927124,96.8850601400001,83000,1892.67880483647,177773.876794047,94773.8767940467
"SPY",2000-03-31,103.030037,96.9751262000001,84000,1902.38471225063,196002.767291417,112002.767291417
"SPY",2000-04-28,99.411575,98.4605468600001,85000,1912.44390304406,190119.060500757,105119.060500757
"SPY",2000-05-31,97.848541,99.5329808200001,86000,1922.66377949577,188129.845657207,102129.845657207
"SPY",2000-06-30,99.774384,98.9833986000001,87000,1932.68639211345,192832.594238302,105832.594238302
"SPY",2000-07-31,98.207741,100.09924654,88000,1942.86888882723,190804.764630902,102804.764630902
"SPY",2000-08-31,104.624657,101.54025926,89000,1952.42686520368,204271.99108952,115271.99108952
"SPY",2000-09-29,98.884758,101.46134854,90000,1962.53964719582,194065.258078364,104065.258078364
"SPY",2000-10-31,98.422195,99.2051890200001,91000,1972.69995707308,194157.459851538,103157.459851538
"SPY",2000-11-30,91.074677,95.8704484400001,92000,1983.67995758409,180663.011408345,88663.0114083447
